species,order,family,mass_g,mass_kg,weaning_days,source
Cercopithecus diana,Primates,Cercopithecidae,4358.91,4.35891,362.93,PanTHERIA_WR05
Cercopithecus mitis,Primates,Cercopithecidae,5041.29,5.04129,688.08,PanTHERIA_WR05
Cercopithecus neglectus,Primates,Cercopithecidae,5324.52,5.32452,417.62,PanTHERIA_WR05
Cerdocyon thous,Carnivora,Canidae,5741.66,5.74166,72.33,PanTHERIA_WR05
Cervus elaphus,Artiodactyla,Cervidae,240867.13,240.86713,104.64,PanTHERIA_WR05
Cervus nippon,Artiodactyla,Cervidae,52999.99,52.99999,197.7,PanTHERIA_WR05
Chaerephon pumilus,Chiroptera,Molossidae,10.98,0.01098,24.5,PanTHERIA_WR05
Chaetodipus californicus,Rodentia,Heteromyidae,23.01,0.02301,23,PanTHERIA_WR05
Chaetodipus formosus,Rodentia,Heteromyidae,20.02,0.02002,21,PanTHERIA_WR05
Chaetodipus hispidus,Rodentia,Heteromyidae,37.24,0.03724,30.18,PanTHERIA_WR05
Cricetulus migratorius,Rodentia,Cricetidae,30.59,0.03059,24.5,PanTHERIA_WR05
Cricetus cricetus,Rodentia,Cricetidae,428.95,0.42895,24.85,PanTHERIA_WR05
Crocidura fuscomurina,Soricomorpha,Soricidae,5.6,0.0056,17.29,PanTHERIA_WR05
Crocidura hirta,Soricomorpha,Soricidae,15.8,0.0158,17.74,PanTHERIA_WR05
Crocidura russula,Soricomorpha,Soricidae,9.89,0.00989,23.82,PanTHERIA_WR05
Crocidura suaveolens,Soricomorpha,Soricidae,7.35,0.00735,28.03,PanTHERIA_WR05
Eptesicus nilssonii,Chiroptera,Vespertilionidae,10.72,0.01072,26,PanTHERIA_WR05
Equus zebra,Perissodactyla,Equidae,282462.13,282.46213,181.46,PanTHERIA_WR05
Erethizon dorsatum,Rodentia,Erethizontidae,7419.46,7.41946,16.27,PanTHERIA_WR05
Erignathus barbatus,Carnivora,Phocidae,279999.99,279.99999,20.94,PanTHERIA_WR05
Erinaceus concolor,Erinaceomorpha,Erinaceidae,665.99,0.66599,41.3,PanTHERIA_WR05
Erinaceus europaeus,Erinaceomorpha,Erinaceidae,777.95,0.77795,40,PanTHERIA_WR05
Erythrocebus patas,Primates,Cercopithecidae,7966.3,7.9663,211.79,PanTHERIA_WR05
Eptesicus serotinus,Chiroptera,Vespertilionidae,23.09,0.02309,30.8,PanTHERIA_WR05
Equus burchellii,Perissodactyla,Equidae,279160.65,279.16065,294.11,PanTHERIA_WR05
Equus caballus,Perissodactyla,Equidae,403598.53,403.59853,341.76,PanTHERIA_WR05
Equus grevyi,Perissodactyla,Equidae,408000.35,408.00035,271.7,PanTHERIA_WR05
Equus hemionus,Perissodactyla,Equidae,235248.07,235.24807,456.25,PanTHERIA_WR05
Genetta genetta,Carnivora,Viverridae,1756.17,1.75617,71.8,PanTHERIA_WR05
Delphinapterus leucas,Cetacea,Monodontidae,1381640.7,1381.6407,689.92,PanTHERIA_WR05
Delphinus delphis,Cetacea,Delphinidae,79271.69,79.27169,405.05,PanTHERIA_WR05
Dendrohyrax arboreus,Hyracoidea,Procaviidae,2981.11,2.98111,152.08,PanTHERIA_WR05
Dendrolagus bennettianus,Diprotodontia,Macropodidae,10458.82,10.45882,717.95,PanTHERIA_WR05
Dendrolagus dorianus,Diprotodontia,Macropodidae,8976.58,8.97658,598.29,PanTHERIA_WR05
Dendrolagus goodfellowi,Diprotodontia,Macropodidae,7948.78,7.94878,359.99,PanTHERIA_WR05
Bison bison,Artiodactyla,Bovidae,624577.07,624.57707,287.32,PanTHERIA_WR05
Bison bonasus,Artiodactyla,Bovidae,675876.7,675.8767,287.32,PanTHERIA_WR05
Blarina brevicauda,Soricomorpha,Soricidae,18.56,0.01856,21.91,PanTHERIA_WR05
Baiomys taylori,Rodentia,Cricetidae,7.43,0.00743,20.38,PanTHERIA_WR05
Balaena mysticetus,Cetacea,Balaenidae,79691179,79691.179,352,PanTHERIA_WR05
Balaenoptera acutorostrata,Cetacea,Balaenopteridae,5587093.6,5587.0936,182.5,PanTHERIA_WR05
Balaenoptera borealis,Cetacea,Balaenopteridae,22106252,22106.252,203.46,PanTHERIA_WR05
Balaenoptera edeni,Cetacea,Balaenopteridae,20000000,20000,273.75,PanTHERIA_WR05
Brachyphylla cavernarum,Chiroptera,Phyllostomidae,45.5,0.0455,73.44,PanTHERIA_WR05
Brachyteles arachnoides,Primates,Atelidae,10537.31,10.53731,734.82,PanTHERIA_WR05
Chaetophractus villosus,Cingulata,Dasypodidae,4372.8,4.3728,76.56,PanTHERIA_WR05
Chalinolobus dwyeri,Chiroptera,Vespertilionidae,8.74,0.00874,36.41,PanTHERIA_WR05
Dendrolagus inustus,Diprotodontia,Macropodidae,12625,12.625,538.46,PanTHERIA_WR05
Dendrolagus lumholtzi,Diprotodontia,Macropodidae,6649.97,6.64997,539.29,PanTHERIA_WR05
Dendrolagus matschiei,Diprotodontia,Macropodidae,8293.4,8.2934,509.1,PanTHERIA_WR05
Desmana moschata,Soricomorpha,Talpidae,427.64,0.42764,39.7,PanTHERIA_WR05
Desmodillus auricularis,Rodentia,Muridae,54.81,0.05481,32.99,PanTHERIA_WR05
Desmodus rotundus,Chiroptera,Phyllostomidae,33.16,0.03316,253.01,PanTHERIA_WR05
Dicerorhinus sumatrensis,Perissodactyla,Rhinocerotidae,1046156,1046.156,362.93,PanTHERIA_WR05
Diceros bicornis,Perissodactyla,Rhinocerotidae,995940.54,995.94054,583.09,PanTHERIA_WR05
